,game_name,game_url,steam_rating
359,Vampire: The Masquerade - Bloodlines,https://steamdb.info/app/2600/,91.86%
360,Long Live The Queen,https://steamdb.info/app/251990/,91.86%
361,Doom & Destiny,https://steamdb.info/app/318130/,91.85%
362,Serious Sam Classic: The First Encounter,https://steamdb.info/app/41050/,91.85%
363,Call of Duty: World at War,https://steamdb.info/app/10090/,91.84%
364,The Lab,https://steamdb.info/app/450390/,91.84%
365,Google Earth VR,https://steamdb.info/app/348250/,91.83%
366,VTOL VR,https://steamdb.info/app/667970/,91.83%
367,Sid Meier's Civilization IV: Beyond the Sword,https://steamdb.info/app/8800/,91.83%
368,eden*,https://steamdb.info/app/315810/,91.83%
369,Beat Hazard,https://steamdb.info/app/49600/,91.83%
370,Gaokao.Love.100Days,https://steamdb.info/app/347620/,91.83%
371,shapez.io,https://steamdb.info/app/1318690/,91.83%
372,Littlewood,https://steamdb.info/app/894940/,91.82%
373,Tales of Maj'Eyal,https://steamdb.info/app/259680/,91.82%
374,The Ditzy Demons Are in Love With Me,https://steamdb.info/app/802870/,91.80%
375,Epistory - Typing Chronicles,https://steamdb.info/app/398850/,91.78%
376,Destroy All Humans!,https://steamdb.info/app/803330/,91.77%
377,SteamWorld Heist,https://steamdb.info/app/322190/,91.77%
378,"Star Wars: Battlefront 2 (Classic, 2005)",https://steamdb.info/app/6060/,91.75%
379,DEATH STRANDING,https://steamdb.info/app/1190460/,91.75%
380,Skullgirls,https://steamdb.info/app/245170/,91.75%
381,Freedom Planet,https://steamdb.info/app/248310/,91.75%
382,千面 Melancholy Love,https://steamdb.info/app/1168470/,91.75%
383,Alien Swarm: Reactive Drop,https://steamdb.info/app/563560/,91.74%
384,SteamWorld Dig 2,https://steamdb.info/app/571310/,91.73%
385,A Dance of Fire and Ice,https://steamdb.info/app/977950/,91.72%
386,Yoku's Island Express,https://steamdb.info/app/334940/,91.71%
387,Quake,https://steamdb.info/app/2310/,91.70%
388,Enigmatis 2: The Mists of Ravenwood,https://steamdb.info/app/284770/,91.70%
389,GORN,https://steamdb.info/app/578620/,91.70%
390,SpeedRunners,https://steamdb.info/app/207140/,91.69%
391,Door Kickers,https://steamdb.info/app/248610/,91.69%
392,PC Building Simulator,https://steamdb.info/app/621060/,91.69%
393,Risk of Rain,https://steamdb.info/app/248820/,91.69%
394,The Swapper,https://steamdb.info/app/231160/,91.67%
395,There is no game : Jam Edition 2015,https://steamdb.info/app/1241700/,91.67%
396,Cat Quest II,https://steamdb.info/app/914710/,91.66%
397,"STAR WARS™ Battlefront (Classic, 2004)",https://steamdb.info/app/1058020/,91.65%
398,Sonic & All-Stars Racing Transformed Collection,https://steamdb.info/app/212480/,91.64%
399,Epiphyllum in Love,https://steamdb.info/app/1161870/,91.63%
400,DmC Devil May Cry,https://steamdb.info/app/220440/,91.63%
401,SENRAN KAGURA ESTIVAL VERSUS,https://steamdb.info/app/502800/,91.63%
402,Spin Rhythm XD,https://steamdb.info/app/1058830/,91.61%
403,Life Goes On,https://steamdb.info/app/250050/,91.61%
404,NEKOPARA Vol. 0,https://steamdb.info/app/385800/,91.61%
405,What Never Was,https://steamdb.info/app/866440/,91.58%
406,Sakuya Izayoi Gives You Advice And Dabs,https://steamdb.info/app/1232180/,91.56%
407,DEADBOLT,https://steamdb.info/app/394970/,91.55%
408,Forager,https://steamdb.info/app/751780/,91.55%
409,Tayutama 2 -you're the only one-,https://steamdb.info/app/552280/,91.54%
410,Flowers -Le volume sur printemps-,https://steamdb.info/app/452440/,91.53%
411,Mass Effect,https://steamdb.info/app/17460/,91.53%
412,Christmas Tina -泡沫冬景-,https://steamdb.info/app/1049100/,91.52%
413,Pavlov VR,https://steamdb.info/app/555160/,91.52%
414,DEEP SPACE WAIFU: NEKOMIMI,https://steamdb.info/app/868980/,91.52%
415,Life is Strange: Before the Storm,https://steamdb.info/app/554620/,91.51%
416,Wandersong,https://steamdb.info/app/530320/,91.51%
417,The House in Fata Morgana,https://steamdb.info/app/303310/,91.51%
418,OLDTV,https://steamdb.info/app/643270/,91.51%
419,Fantasy Girl,https://steamdb.info/app/1064730/,91.50%
420,Parkasaurus,https://steamdb.info/app/591460/,91.49%
421,Lair of the Clockwork God,https://steamdb.info/app/1060600/,91.49%
422,Among Us,https://steamdb.info/app/945360/,91.48%
423,"Warhammer 40,000: Dawn of War - Game of the Year Edition",https://steamdb.info/app/4570/,91.46%
