,game_name,release_date,original_price($),discount_price($),steam_rating
269,BONEWORKS,"10 Dec, 2019",33.99,,87.38%
270,Kingdom Rush Origins,"17 Oct, 2018",17.49,,90.86%
271,Arma 3,"12 Sep, 2013",43.99,,89.22%
272,Dawn of Man,"1 Mar, 2019",28.99,,84.02%
273,realMyst: Masterpiece Edition,"5 Feb, 2014",19.99,,82.07%
274,Meteorfall: Krumit's Tale,"23 Jul, 2020",17.49,,86.35%
275,Amazing Frog?,"21 Nov, 2014",18.49,,87.61%
276,Squally,"6 Nov, 2018",28.99,,59.89%
277,Bloodstained: Curse of the Moon 2,"10 Jul, 2020",18.89,,83.36%
278,Disco Elysium,"15 Oct, 2019",45.49,,92.44%
279,MXGP 2019 - The Official Motocross Videogame,"27 Aug, 2019",56.99,14.24,81.27%
280,People Playground,"23 Jul, 2019",11.49,,95.59%
281,Outer Wilds,"18 Jun, 2020",28.99,,90.40%
282,LEGO® MARVEL's Avengers,"26 Jan, 2016",29.99,7.49,82.08%
283,Welcome to the Game II,"3 Apr, 2018",12.99,,80.28%
284,iRacing,"12 Jan, 2015",10.99,,82.20%
285,iRacing,"12 Jan, 2015",10.99,,82.20%
286,Bloons TD 6,"17 Dec, 2018",11.49,,93.50%
287,Stellaris,"9 May, 2016",43.99,,84.27%
288,Elmarion: Dragon time,"12 Mar, 2020",11.49,8.04,80.79%
289,Feed and Grow: Fish,"8 Jan, 2016",16.99,,75.79%
290,Scrutinized,"5 Aug, 2020",13.49,,82.30%
291,Project Winter,"23 May, 2019",22.79,,80.35%
292,Caves of Qud,"15 Jul, 2015",17.49,,92.54%
293,Sin Slayers,"5 Sep, 2019",17.49,,70.79%
294,Mystic Vale,"31 Jan, 2019",17.49,,82.08%
295,The Curse of Kubel,"24 Jul, 2020",17.49,,67.14%
296,Fell Seal: Arbiter's Mark,"30 Apr, 2019",33.99,11.55,87.85%
297,Ori and the Will of the Wisps,"10 Mar, 2020",39.99,,93.08%
298,Darkwood,"17 Aug, 2017",16.99,,91.34%
299,The Jackbox Party Pack 5,"17 Oct, 2018",33.99,,85.18%
300,UNO,"3 Jan, 2017",13.49,,72.37%
301,Generation Zero®,"26 Mar, 2019",29.99,,59.94%
302,Sparklite,"14 Nov, 2019",28.99,14.49,73.78%
303,Townscaper,"30 Jun, 2020",6.69,,94.51%
304,Getting Over It with Bennett Foddy,"6 Dec, 2017",8.99,,80.55%
305,Door Kickers: Action Squad,"10 Sep, 2018",15.49,,91.00%
306,Hydroneer,"8 May, 2020",11.49,,78.84%
307,Wreckfest,"14 Jun, 2018",39.99,,81.64%
308,Dungeonmans,"9 Dec, 2014",16.99,,85.68%
309,Assetto Corsa,"19 Dec, 2014",22.79,,87.67%
